Activity,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,LinearAccX,LinearAccY,LinearAccZ,Subject
WALKING,1.63E+12,-2.974877,-11.315659,0.037089,0.05803,0.770889,-0.242201,1.115501,2.823104,-1.653231,1
WALKING,1.63E+12,-2.565106,-12.766905,-0.129212,1.933637,-0.401632,1.10655,-1.257354,2.492219,9.698999,1
WALKING,1.63E+12,1.421935,-5.842675,-1.805983,-0.448515,-1.012479,0.638335,-2.820787,-3.33526,3.773397,1
WALKING,1.63E+12,-3.291327,-13.505091,4.591826,0.07544,-0.10644,-0.00901,7.72327,5.159678,0.126382,1
WALKING,1.63E+12,0.250648,-8.907881,-2.464009,-1.656465,0.83625,-0.635128,5.088724,2.587964,2.491476,1
WALKING,1.63E+12,-0.848854,-10.083355,0.223131,-0.328941,0.895502,-0.569615,-2.412715,-1.839881,0.685986,1
WALKING,1.63E+12,-3.527021,-14.429917,-0.011366,2.250514,0.047493,1.38754,11.362425,2.374641,-14.009012,1
WALKING,1.63E+12,0.141775,-5.453841,-2.03031,-0.536629,-1.494132,0.77883,-3.60077,-2.304426,2.18024,1
WALKING,1.63E+12,-2.374876,-10.51167,2.532803,-0.478293,0.074065,-0.000611,1.351573,-1.565507,0.169609,1
WALKING,1.63E+12,0.287737,-12.873385,-1.633101,-1.069288,0.650705,-0.699726,1.549037,8.389031,10.02177,1
WALKING,1.63E+12,-1.589432,-8.742776,0.735793,-0.521664,0.945439,-0.678651,-0.486511,-0.696937,1.533607,1
WALKING,1.63E+12,-4.517649,-13.303495,1.051646,1.916228,-0.125987,1.005302,10.737479,2.888857,-10.56777,1
WALKING,1.63E+12,-0.059222,-8.556734,-1.749153,0.26465,-1.287971,1.058598,-2.232658,-1.8539,3.520597,1
WALKING,1.63E+12,-1.713261,-9.979267,3.213561,-0.724465,-0.131027,-0.163096,-6.912471,-5.275741,5.082723,1
WALKING,1.63E+12,1.558924,-11.318051,-2.728416,-0.935207,0.497382,-0.695297,0.64305,13.083377,-5.644517,1
WALKING,1.63E+12,-2.086541,-8.484351,0.25663,-0.852132,1.05249,-0.570073,-1.121788,-0.460401,4.601722,1
WALKING,1.63E+12,-4.846662,-11.568699,1.712663,1.524217,0.074218,0.446835,7.813772,3.498314,-1.548878,1
WALKING,1.63E+12,-0.529412,-12.013166,-2.202593,0.718967,-0.956587,1.312863,-3.018833,8.745998,7.595298,1
WALKING,1.63E+12,-0.406182,-8.047063,2.372484,-0.564576,-0.751037,0.188599,-5.533715,-6.046157,4.446827,1
WALKING,1.63E+12,0.473779,-11.469995,-0.769292,-0.335508,-0.049631,-0.467298,-2.544966,-1.943664,13.839725,1
WALKING,1.63E+12,-1.745564,-8.99163,-1.922633,-1.643179,1.376239,-0.62398,3.797112,-4.993817,-10.197184,1
WALKING,1.63E+12,-4.625925,-11.979667,1.061815,0.735766,0.348946,0.133165,0.946128,1.46842,-2.777018,1
WALKING,1.63E+12,-0.974477,-12.868002,-1.170689,1.668224,-0.478446,1.234828,-4.729411,9.456481,0.298677,1
WALKING,1.63E+12,2.384448,-4.580461,-2.03689,-0.679873,-0.88695,0.205703,-5.459079,-6.244025,5.237585,1
WALKING,1.63E+12,-4.075575,-13.986647,5.099105,0.003665,0.324054,-0.132248,-5.807583,-1.451591,-0.298581,1
WALKING,1.63E+12,0.257827,-9.210572,-2.688336,-1.613553,0.905276,-0.678804,-6.956397,-2.842082,4.624451,1
WALKING,1.63E+12,-2.383251,-10.46501,0.426521,-0.081243,0.748441,-0.476003,2.922036,-1.46426,-1.322565,1
WALKING,1.63E+12,-2.79721,-13.657035,-0.535992,2.034121,-0.307714,1.285833,3.40815,3.439316,-2.619348,1
